Product ID,Product,Category,Tube Price,Tyre Price,MRP,Web Price, Width,Ration,Diameter,Visiblity,Vehicle Type,Tyre Type
792,Cavendish 100/90-17 55P BLAZE BR31 Tubeless Two wheeler,CAVENDISH,,1480,1430,1480,100,90,17,yes,two-wheeler,two-wheeler
804,Cavendish 2.75-17 4PR 41P CHALLENGER F82 Tubetyre Two wheeler,CAVENDISH,158,982,1090,1140,2.75,r,17,yes,two-wheeler,two-wheeler
808,Cavendish 2.75-18 4PR 42P CHALLENGER F21 Tubetyre Two wheeler,CAVENDISH,179,1893,1110,2072,2.75,r,18,yes,two-wheeler,two-wheeler
814,Cavendish 3.00-18 6PR 52P CHALLENGER R42 Tubetyre Two wheeler,CAVENDISH,179,1161,1290,1340,3,r,18,yes,two-wheeler,two-wheeler
826,Cavendish 2.50-16 6PR 41L CHALLENGER R45 Tubetyre Two wheeler,CAVENDISH,150,750,850,900,2.5,r,16,yes,two-wheeler,two-wheeler
834,Cavendish 90/90-12 54J CHALLENGER S63 Tubetyre Two wheeler,CAVENDISH,190,1040,1180,1230,90,90,12,yes,two-wheeler,two-wheeler
846,Cavendish 4.50-10 8PR 85E JUMBO MILES TT Three Wheeler,CAVENDISH,211,1819,1980,2030,4.5,r,10,yes,three-wheeler,three-wheeler
2639,"Cavendish 90/100-10 53J BLAZE BA23 Tubeless Two wheeler
",CAVENDISH,,1080,1030,1080,90,100,10,yes,two-wheeler,two-wheeler
2659,Cavendish 90/100-10 53J BLAZE BA22 Tubeless Two wheeler,CAVENDISH,0,1070,1020,1070,90,100,10,yes,two-wheeler,two-wheeler
2660,Cavendish 100/90-10 BLAZE BA22 Tubeless Two wheeler,CAVENDISH,0,840,790,840,100,90,10,yes,two-wheeler,two-wheeler
2661,Cavendish 90/90-12 BLAZE BA22 Tubeless Two wheeler,CAVENDISH,0,1060,1010,1060,90,90,12,yes,two-wheeler,two-wheeler
2664,Cavendish 2.75-17 41P BLAZE BF32 Tubetyre Two wheeler,CAVENDISH,158,1072,1180,1230,2.75,r,17,yes,two-wheeler,two-wheeler
2666,Cavendish 2.75-18 42P BLAZE BF32 Tubetyre Two wheeler,CAVENDISH,179,1131,1260,1310,2.75,r,18,yes,two-wheeler,two-wheeler
2668,Cavendish 80/100-17 BLAZE BF33 Tubeless Two wheeler,CAVENDISH,0,1320,1270,1320,80,100,17,yes,two-wheeler,two-wheeler
2669,Cavendish 140/70-17 BLAZE BR41 Tubeless Two wheeler,CAVENDISH,0,2780,2730,2780,140,70,17,yes,two-wheeler,two-wheeler
2670,Cavendish 130/70-17 62P BLAZE RYDR BR41 Tubeless Two wheeler,CAVENDISH,0,1940,1890,1940,130,70,17,yes,two-wheeler,two-wheeler
2671,Cavendish 120/80-17 67P BLAZE RYDR BR41 Tubeless Two wheeler,CAVENDISH,0,2090,2040,2090,120,80,17,yes,two-wheeler,two-wheeler
2672,Cavendish 120/80-18 62P BLAZE RYDR BR41 Tubeless Two wheeler,CAVENDISH,0,2120,2070,2120,120,80,18,yes,two-wheeler,two-wheeler
